SLNo,Furnished_status,Facing,Car_Parking,Type_of_ownership,Booking_amount,Buy_total_price
452,Furnished,North,"1 Covered, 1 Open",Freehold,8000000,80000000
453,Furnished,,,Freehold,0,13500000
454,Semi-Furnished,,,Power Of Attorney,1000000,3000000
455,Unfurnished,,1 Covered,Freehold,0,38500000
456,Semi-Furnished,South,1 Open,Freehold,500000,1700000
457,Unfurnished,North - East,,Freehold,0,3500000
458,Semi-Furnished,,,,0,2000000
459,Unfurnished,,,,0,28000000
460,Semi-Furnished,East,1 Covered,Freehold,1200000,4100000
461,Unfurnished,,,,0,1600000
462,Semi-Furnished,East,1 Open,Freehold,0,20000000
463,Unfurnished,West,,Freehold,0,12000000
464,Semi-Furnished,,,,0,13000000
465,Semi-Furnished,South,,Freehold,0,4900000
466,Furnished,North - East,2 Open,Freehold,0,30000000
467,Semi-Furnished,East,,Freehold,350000,3400000
468,Furnished,North,,Freehold,0,5050000
469,Unfurnished,,,,0,2000000
470,Semi-Furnished,,,,0,15000000
471,Unfurnished,East,,Power Of Attorney,100000,4200000
472,Furnished,,,,200000,6000000
473,Semi-Furnished,,,,0,12500000
474,Unfurnished,,,,0,3500000
475,Furnished,North - West,3 Open,Freehold,0,52500000
476,Unfurnished,East,,Co-operative Society,0,11000000
477,Furnished,,,,0,2800000
478,Semi-Furnished,,,,0,5000000
479,Furnished,,,,0,1500000
480,Semi-Furnished,,,,0,5000000
481,Semi-Furnished,East,"1 Covered, 1 Open",Freehold,0,22500000
482,Unfurnished,West,2 Covered,Freehold,0,9500000
483,Semi-Furnished,East,"1 Covered, 1 Open",Freehold,0,14000000
484,Unfurnished,North - West,,Freehold,0,20000000
485,Unfurnished,West,,Freehold,1000000,10000000
486,Unfurnished,East,"2 Covered, 2 Open",Freehold,500000,19100000
487,Furnished,,,,0,25000000
488,Unfurnished,East,2 Covered,,0,30000000
489,Furnished,,,,200000,20000000
490,Unfurnished,East,,Freehold,0,18500000
491,Semi-Furnished,East,1 Covered,Freehold,1000000,13500000
492,Furnished,East,"1 Covered, 1 Open",Freehold,0,17000000
493,Unfurnished,North - East,,Freehold,0,13300000
494,Unfurnished,East,,,100000,12000000
495,Unfurnished,East,,Freehold,0,52000000
496,Unfurnished,West,,Freehold,0,14900000
497,Semi-Furnished,East,2 Covered,Freehold,1000000,42500000
498,Unfurnished,West,1 Covered,Freehold,0,11000000
499,Furnished,West,,Freehold,150000,12800000
500,Furnished,West,3 Covered,Freehold,4500000,39500000
501,Unfurnished,West,,Freehold,0,18800000
502,Furnished,West,,Freehold,0,22500000
503,Unfurnished,East,2 Covered,Freehold,500000,28000000
504,Unfurnished,East,2 Covered,Freehold,0,11500000
505,Unfurnished,East,1 Covered,Freehold,300000,15000000
506,Furnished,North,,Freehold,0,25000000
507,Semi-Furnished,East,"1 Covered, 1 Open",Freehold,0,9950000
508,Semi-Furnished,East,2 Covered,Freehold,0,20000000
509,Unfurnished,West,,Freehold,1000000,38000000
510,Semi-Furnished,North,,Freehold,0,10000000
511,Unfurnished,North - East,1 Covered,Freehold,0,26000000
512,Unfurnished,East,"1 Covered, 1 Open",Freehold,0,25000000
513,Unfurnished,West,2 Covered,Freehold,0,42500000
514,Unfurnished,West,,Freehold,0,9900000
515,Semi-Furnished,West,,Freehold,100000,18500000
